id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8025,CBG Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,Private room,80,1,39,1/1/2019,0.37,6,364
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,Entire home/apt,200,7,19,3/25/2019,0.22,1,257
15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,Entire home/apt,250,2,66,3/30/2019,0.57,2,231
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,Entire home/apt,200,30,143,1/26/2019,1.33,2,297
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,Entire home/apt,190,5,21,1/2/2019,0.2,1,224
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,Entire home/apt,110,31,54,3/23/2019,0.49,1,209
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,60,3,11,1/3/2019,0.87,3,219
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,Flatlands,Private room,77,2,2,1/1/2019,0.02,1,178
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,Entire home/apt,225,45,134,3/31/2019,1.24,1,312
59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,Entire home/apt,150,3,41,1/2/2019,0.39,1,244
64000,Williamsburg near soho. / loftbed,312722,Kristian & Di,Brooklyn,Williamsburg,Private room,60,17,14,1/7/2019,0.14,4,362
64277,BEDROOM2 FOR RENT  10min from Manh,311286,Helene,Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,1/2/2019,0.22,4,189
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,7310,Tilly,Manhattan,Little Italy,Entire home/apt,90,14,1,1/2/2019,0.16,1,14
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,Juhli,Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,1/5/2019,0.67,1,68
65562,CHARMING EAST VILLAGE 2 (or 1) BR,320450,Mary D,Manhattan,East Village,Entire home/apt,129,7,5,1/3/2019,0.15,1,231
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,Eric,Manhattan,Harlem,Private room,75,3,20,1/2/2019,0.26,1,364
66451,**Fantastic Williamsburg Apt**,325389,Luis Fernando,Brooklyn,Williamsburg,Entire home/apt,140,2,9,2/16/2019,0.11,1,254
70128,"Large, Sunny Room East Village NYC",354330,Eyal,Manhattan,East Village,Private room,65,3,52,1/10/2019,0.63,1,5
71812,Condo Apartment with laundry in unit,369015,Thai,Bronx,Kingsbridge,Entire home/apt,90,30,4,1/2/2019,0.35,2,346
